,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9584855,0.9597772,47.476776,52.738255
1,100,0.3408976,0.4751369,47.369522,52.678513
2,200,0.20653412,0.34432912,47.3236,52.642567
3,300,0.19350111,0.3044855,47.249622,52.595284
4,400,0.19042575,0.28799236,47.191753,52.569824
5,500,0.18623038,0.27994528,47.156315,52.558117
6,600,0.182735,0.27487913,47.131454,52.549034
7,700,0.18168224,0.2733331,47.10868,52.53688
8,800,0.18216191,0.2737709,47.082317,52.517532
9,900,0.18190299,0.27373976,47.052162,52.489193
10,1000,0.18174264,0.27344966,47.017986,52.4531
11,1100,0.18182044,0.27395186,46.979794,52.410313
12,1200,0.18149914,0.27505147,46.93709,52.360737
13,1300,0.18079989,0.27550653,46.889603,52.305214
14,1400,0.18006004,0.27579242,46.837234,52.243782
15,1500,0.1793573,0.27593255,46.779514,52.176254
16,1600,0.17853834,0.2762366,46.716732,52.102665
17,1700,0.17781933,0.27640563,46.648136,52.02311
18,1800,0.17699917,0.27653676,46.57396,51.937588
19,1900,0.17606358,0.27649274,46.493702,51.846207
20,2000,0.1752133,0.27687302,46.407894,51.748795
21,2100,0.17433494,0.2770717,46.315742,51.644817
22,2200,0.17359728,0.27772075,46.216896,51.534153
23,2300,0.17291369,0.27867037,46.11162,51.416386
24,2400,0.17231224,0.27916965,45.999584,51.291317
25,2500,0.17162348,0.27967623,45.881294,51.15955
26,2600,0.170537,0.27985293,45.756504,51.021137
27,2700,0.16928762,0.27988097,45.624706,50.875313
28,2800,0.16795279,0.28008318,45.48579,50.72305
29,2900,0.16632882,0.27994084,45.340305,50.56341
30,3000,0.16446005,0.27947494,45.187504,50.39688
31,3100,0.16238244,0.27886513,45.027424,50.22371
32,3200,0.16005306,0.27935323,44.86014,50.04334
33,3300,0.15757893,0.27976552,44.685802,49.856396
34,3400,0.15458234,0.27933612,44.50452,49.66188
35,3500,0.15121782,0.27835876,44.315968,49.462086
36,3600,0.14732823,0.276954,44.12031,49.257004
37,3700,0.1430988,0.27520558,43.917225,49.04566
38,3800,0.13857715,0.27320972,43.708073,48.826828
39,3900,0.13381183,0.2712549,43.492134,48.60136
40,4000,0.12905268,0.26922166,43.26865,48.3687
41,4100,0.12406781,0.2666761,43.03913,48.130043
42,4200,0.11870557,0.26374507,42.802338,47.884235
43,4300,0.11385123,0.26056597,42.56098,47.630516
44,4400,0.108878575,0.25730243,42.313847,47.36925
45,4500,0.103689834,0.2531662,42.059917,47.09828
46,4600,0.098256126,0.24855825,41.799572,46.820942
47,4700,0.09305528,0.24335702,41.533585,46.53522
48,4800,0.08795841,0.23858576,41.263557,46.240654
49,4900,0.0829046,0.23318265,40.991436,45.930897
50,5000,0.07816559,0.22796883,40.715137,45.59802
51,5100,0.07332247,0.22176509,40.432247,45.240646
52,5200,0.06838118,0.21528602,40.14527,44.851463
53,5300,0.063527726,0.20829691,39.85542,44.41578
54,5400,0.059197288,0.20094803,39.560333,43.916756
55,5500,0.055118963,0.1935204,39.268654,43.34726
56,5600,0.051342845,0.18561643,38.97606,42.688583
57,5700,0.047872704,0.17704105,38.67854,41.92217
58,5800,0.044606484,0.16878577,38.381275,41.010822
59,5900,0.041399326,0.16046135,38.07518,39.969124
60,6000,0.038259342,0.15164061,37.763298,38.790718
61,6100,0.035278484,0.14213851,37.443913,37.47578
62,6200,0.032670043,0.13366035,37.122383,36.026802
63,6300,0.030061116,0.12456068,36.796616,34.446873
64,6400,0.02766548,0.11495122,36.455307,32.724895
65,6500,0.025444835,0.10606178,36.082813,30.866068
66,6600,0.023401981,0.09765243,35.67663,28.933361
67,6700,0.021378575,0.08922517,35.22339,26.969267
68,6800,0.019606417,0.08064518,34.698368,25.043503
69,6900,0.018037375,0.07264479,34.094196,23.168203
70,7000,0.016615404,0.064690344,33.39312,21.360775
71,7100,0.015361851,0.05829669,32.602573,19.693733
72,7200,0.01423477,0.0530052,31.704792,18.1495
73,7300,0.013356955,0.04835268,30.676159,16.740942
74,7400,0.012620871,0.044508133,29.509624,15.500066
75,7500,0.011903989,0.04211142,28.213076,14.389577
76,7600,0.011242027,0.039586157,26.799026,13.363644
77,7700,0.010721703,0.04189596,25.281382,12.46579
78,7800,0.010234913,0.040074605,23.715082,11.686985
79,7900,0.00978644,0.037907843,22.12908,10.999675
80,8000,0.009387816,0.036756843,20.57772,10.408075
81,8100,0.009112902,0.038347837,19.115686,9.871776
82,8200,0.008871481,0.034215182,17.667723,9.4126005
83,8300,0.008559085,0.038589425,16.46776,9.014305
84,8400,0.008321126,0.039188165,15.2839,8.652577
85,8500,0.008111797,0.036250282,14.197527,8.352242
86,8600,0.007979376,0.037448745,13.271814,8.102907
87,8700,0.007894314,0.035678167,12.396815,7.872395
88,8800,0.0077686263,0.03950611,11.701829,7.6449456
89,8900,0.0076725036,0.03798231,11.044664,7.4567027
90,9000,0.007568266,0.039712667,10.485159,7.282021
91,9100,0.0074802595,0.036239807,9.942488,7.1210327
92,9200,0.0074425656,0.03610828,9.493461,6.9716344
93,9300,0.007383065,0.037593786,9.104965,6.844761
94,9400,0.00745978,0.040043928,8.766139,6.7272077
95,9500,0.007444184,0.035368092,8.43658,6.6413674
96,9600,0.0073235626,0.038469728,8.165211,6.5421
97,9700,0.0071947873,0.036220655,7.9181614,6.45359
98,9800,0.0071507418,0.03962477,7.7028418,6.372164
99,9900,0.0071724667,0.037839603,7.4849415,6.3070493
100,10000,0.007204278,0.03935628,7.3057084,6.2392693
101,10100,0.007270092,0.04031304,7.138004,6.184131
102,10200,0.007279683,0.037993707,6.981788,6.133042
103,10300,0.007279944,0.04004345,6.839022,6.0860558
104,10400,0.007287602,0.038085103,6.7109237,6.036103
105,10500,0.0072882273,0.038208477,6.598378,5.99604
106,10600,0.0073006507,0.038275063,6.500913,5.9524994
107,10700,0.0073213796,0.037597414,6.4086595,5.9147716
108,10800,0.0073204776,0.035890307,6.317462,5.8790455
109,10900,0.0073492764,0.038887806,6.2509704,5.8405666
110,11000,0.0072930744,0.038085688,6.186993,5.808527
111,11100,0.0072862552,0.036506686,6.118301,5.77572
112,11200,0.007284267,0.03884221,6.073059,5.751269
113,11300,0.007296946,0.040178172,6.0177975,5.7263837
114,11400,0.007308835,0.041403413,5.9676366,5.703677
115,11500,0.0073299524,0.037526947,5.9029493,5.6822953
116,11600,0.0073468736,0.036825914,5.857461,5.6634455
117,11700,0.007348815,0.040290125,5.8228097,5.6368546
118,11800,0.007331065,0.03740518,5.7739153,5.617725
119,11900,0.0073103234,0.037515413,5.7318377,5.5995355
120,12000,0.0073221345,0.04019776,5.707237,5.5812855
121,12100,0.0072746957,0.040578388,5.672812,5.5687995
122,12200,0.0072977766,0.035483208,5.619598,5.5489116
123,12300,0.0072579533,0.037995983,5.6119337,5.535217
124,12400,0.0073051616,0.03807321,5.5831013,5.5154653
125,12500,0.0072430996,0.03434937,5.5028443,5.506691
126,12600,0.0071943537,0.039803248,5.5283546,5.488938
127,12700,0.0072499025,0.03708728,5.5128927,5.476906
128,12800,0.007287266,0.041091155,5.5074606,5.4589143
129,12900,0.0072822743,0.039417364,5.487179,5.447534
130,13000,0.0072953366,0.041319083,5.470895,5.4299655
131,13100,0.0072877943,0.040156946,5.4439096,5.4163876
132,13200,0.007291433,0.042297255,5.431094,5.4038467
133,13300,0.0073180464,0.041508704,5.4114976,5.390957
134,13400,0.007265394,0.04075643,5.393245,5.377521
135,13500,0.0072848233,0.03925235,5.368411,5.364508
136,13600,0.0073150853,0.041087665,5.350437,5.352462
137,13700,0.0073189335,0.040565573,5.326184,5.3379483
138,13800,0.00735706,0.038517404,5.3049026,5.3224487
139,13900,0.0073676663,0.037764743,5.284292,5.3061643
140,14000,0.0073937993,0.042760413,5.2749496,5.290699
141,14100,0.0074234656,0.039545696,5.248991,5.271931
142,14200,0.007460343,0.041677948,5.2332945,5.2577777
143,14300,0.0074727833,0.04050244,5.214606,5.2427096
144,14400,0.0074812607,0.041723177,5.1985726,5.22949
145,14500,0.00749946,0.04208808,5.1800203,5.2166224
146,14600,0.007473291,0.039512407,5.155927,5.2037883
147,14700,0.00750498,0.042040493,5.146756,5.193904
148,14800,0.007432236,0.039039597,5.1293244,5.1828766
149,14900,0.007455906,0.038140323,5.114083,5.1740184
150,15000,0.0074100406,0.04267454,5.1116233,5.1665564
151,15100,0.007452469,0.034834802,5.0793333,5.153202
152,15200,0.007430705,0.039400633,5.0925655,5.1447506
153,15300,0.00741788,0.04162271,5.086019,5.1348686
154,15400,0.0074165803,0.039907016,5.0721803,5.124613
155,15500,0.0074150003,0.03994223,5.064915,5.118202
156,15600,0.007414976,0.037722472,5.0489893,5.1114717
157,15700,0.0073814588,0.040594157,5.050226,5.106336
158,15800,0.0073315017,0.04131646,5.044711,5.099906
159,15900,0.0073462627,0.04086979,5.033747,5.089492
160,16000,0.007345729,0.04023488,5.0226145,5.0785995
161,16100,0.0072996314,0.042796522,5.024018,5.07102
162,16200,0.007263407,0.041248426,5.012587,5.0615587
163,16300,0.007265815,0.04114106,5.0100513,5.0528903
164,16400,0.007234029,0.040367287,4.9866915,5.044644
165,16500,0.0072165523,0.04179554,4.994913,5.03513
166,16600,0.007237726,0.039250888,4.97829,5.0260935
167,16700,0.0072167697,0.03724277,4.969742,5.0190663
168,16800,0.0071291225,0.040664073,4.977005,5.012411
169,16900,0.0070981057,0.04120804,4.9681754,5.0033035
170,17000,0.007101952,0.040208895,4.9561987,4.995342
171,17100,0.007097125,0.038889837,4.9449553,4.9890394
172,17200,0.0070844297,0.04025249,4.945829,4.9839754
173,17300,0.007069168,0.040996958,4.9362416,4.977599
174,17400,0.0070636556,0.042706218,4.934977,4.971655
175,17500,0.007083749,0.04087784,4.9260426,4.9669085
176,17600,0.007091356,0.042036347,4.9250226,4.959914
177,17700,0.007073329,0.042678844,4.9254684,4.957315
178,17800,0.00709326,0.039551515,4.9173145,4.9544263
179,17900,0.007121135,0.037975702,4.911717,4.95027
180,18000,0.0070785084,0.042953506,4.920895,4.9472713
181,18100,0.0071029756,0.042852264,4.9177074,4.9436455
182,18200,0.007105786,0.041989487,4.9087377,4.9417167
183,18300,0.0071424814,0.036492754,4.893031,4.939658
184,18400,0.0071243932,0.040823165,4.896468,4.9355836
185,18500,0.0071427645,0.0393668,4.8930244,4.932263
186,18600,0.007088747,0.040590364,4.8895645,4.9278502
187,18700,0.0071347984,0.039076965,4.876247,4.9220796
188,18800,0.007090288,0.040593933,4.8780537,4.917814
189,18900,0.0071047544,0.0400406,4.871821,4.9114227
190,19000,0.007085143,0.039880432,4.8637805,4.9040003
191,19100,0.007048357,0.0399051,4.8610153,4.9031243
192,19200,0.0070655127,0.040042255,4.8530636,4.89651
193,19300,0.007013852,0.040177505,4.8557906,4.8912563
194,19400,0.0069924775,0.04174587,4.849517,4.8869143
195,19500,0.0069415197,0.041147072,4.849571,4.882671
196,19600,0.0069160704,0.03506993,4.8299522,4.8807316
197,19700,0.0068407147,0.04216486,4.842993,4.8759604
198,19800,0.006800378,0.039744228,4.83977,4.8748612
199,19900,0.006836004,0.039586216,4.83318,4.870096
