n,z,excess
1,0,8071.31806
0,1,7288.971064
1,1,13135.722895
2,1,14949.81090
1,2,14931.21888
3,1,24621.129
2,2,2424.91587
1,3,25323.190
4,1,32892.447
3,2,11231.234
2,3,11678.887
5,1,41875.725
4,2,17592.095
3,3,14086.88044
2,4,18375.034
5,2,26073.128
4,3,14907.10463
3,4,15768.998
2,5,27676.553
6,2,31609.683
5,3,20945.805
4,4,4941.672
3,5,22921.569
2,6,35064.269
7,2,40935.826
6,3,24954.905
5,4,11348.451
4,5,12416.486
3,6,28910.971
8,2,49197.147
7,3,33052.628
6,4,12607.487
5,5,12050.611
4,6,15698.673
3,7,38800.027
8,3,40728.259
7,4,20177.169
6,5,8667.708
5,6,10649.397
4,7,24365.644
3,8,47738.913
9,3,49009.577
8,4,25077.761
7,5,13369.398
6,6,0.0
5,7,17338.068
4,8,32013.335
10,3,56980.895
9,4,33659.080
8,5,16561.948
7,6,3125.00933
6,7,5345.481
5,8,23115.432
10,4,39954.502
9,5,23663.686
8,6,3019.89328
7,7,2863.41683
6,8,8007.781
5,9,31964.403
11,4,49825.821
10,5,28957.379
9,6,9873.145
8,7,101.43809
7,8,2855.622
6,9,16566.752
5,10,40215.374
12,4,57447.139
11,5,37111.699
10,6,13694.133
9,7,5683.907
8,8,-4737.00217
7,9,10675.182
6,10,23986.775
12,5,43716.322
11,6,21031.880
10,7,7870.079
9,8,-808.76421
8,9,1951.701
7,10,16500.452
6,11,34719.580
13,5,51792.640
12,6,24919.266
11,7,13113.167
10,8,-782.81634
9,9,873.112
8,10,5317.617
7,11,25037.992
14,5,59770.251
13,6,32413.754
12,7,15856.255
11,8,3332.858
10,9,-1487.44512
9,10,1752.054
8,11,12929.384
7,12,31838.394
15,5,69401.569
14,6,37503.567
13,7,21766.498
12,8,3796.172
11,9,-17.463
10,10,-7041.93217
9,11,6850.489
8,12,17477.694
16,5,78382.887
14,7,25231.915
13,8,8062.034
12,9,-47.605
11,10,-5731.776
10,11,-2184.857
9,12,10903.851
16,6,53611.203
15,7,31764.805
14,8,9283.032
13,9,2793.376
12,10,-8024.716
11,11,-5181.391
10,12,-399.986
16,7,36720.429
15,8,14621.371
14,9,3285.263
13,10,-5154.045
12,11,-9529.85352
11,12,-5473.675
10,13,6748.071
16,8,18500.404
15,9,7544.516
14,10,-5951.642
13,11,-8417.901
12,12,-13933.578
11,13,-48.812
10,14,10745.186
17,8,27329.030
16,9,11334.167
15,10,-2035.503
14,11,-9357.814
13,12,-13192.782
12,13,-8915.974
11,14,3827.322
18,8,34661.041
17,9,18674.655
16,10,481.114
15,11,-6860.780
14,12,-16214.544
13,13,-12210.139
12,14,-7141.003
18,9,25133.478
17,10,7050.910
16,11,-5517.791
15,12,-14586.594
14,13,-17196.864
13,14,-12384.505
12,15,-659.032
19,9,33403.796
18,10,11299.738
17,11,-988.315
16,12,-15019.946
15,13,-16850.719
14,14,-21492.79711
13,15,-7147.856
12,16,4073.203
20,9,40150.190
19,10,18399.803
18,11,2679.994
17,12,-10612.360
16,13,-18207.762
15,14,-21895.08154
14,15,-16952.849
13,16,-3094.423
20,10,23280.120
19,11,8474.670
18,12,-8881.373
17,13,-15864.116
16,14,-24432.962
15,15,-20200.856
14,16,-14059.254
13,17,4674.548
21,10,31181.594
20,11,12246.031
19,12,-3122.152
18,13,-14950.709
17,14,-22949.037
16,15,-24440.54442
15,16,-19042.531
14,17,-7034.552
21,11,18640.152
20,12,-828.901
19,13,-11099.368
18,14,-24077.689
17,15,-24304.876
16,16,-26015.53714
15,17,-13334.706
14,18,-2200.352
22,11,23780.113
21,12,4962.873
20,13,-8497.382
19,14,-20514.328
18,15,-26337.350
17,16,-26585.85830
16,17,-21003.340
15,18,-9384.295
23,11,31680.114
22,12,8323.324
21,13,-2997.619
20,14,-19991.684
19,15,-24548.702
18,16,-29931.689
17,17,-24440.086
16,18,-18378.293
23,12,15639.786
22,13,-223.730
21,14,-14391.480
20,15,-24857.809
19,16,-28846.210
18,17,-29013.532
17,18,-23047.289
16,19,-11172.893
24,12,20380.159
23,13,5950.384
22,14,-12436.125
21,15,-20251.045
20,16,-30664.141
19,17,-29522.008
18,18,-30231.542
17,19,-17417.182
16,20,-6451.166
25,12,28211.478
24,13,9809.564
23,14,-6571.512
22,15,-18996.012
21,16,-26896.426
20,17,-31761.552
19,18,-30947.679
18,19,-24800.201
17,20,-13136.070
24,14,-4170.299
23,15,-14621.565
22,16,-26861.216
21,17,-29798.116
20,18,-34714.827
19,19,-28800.760
18,20,-22058.503
25,14,2320.352
24,15,-12774.636
23,16,-23162.672
22,17,-29800.218
21,18,-33242.195
20,19,-33807.19535
19,20,-27282.707
18,21,-14172.726
26,14,5666.876
25,15,-8139.189
24,16,-22837.850
23,17,-27557.818
22,18,-35039.89997
21,19,-33535.497
20,20,-34846.402
19,21,-20523.353
18,22,-8993.439
26,15,-4979.767
25,16,-19008.580
24,17,-27307.192
23,18,-33067.510
22,19,-35559.54880
21,20,-35137.908
20,21,-28642.360
19,22,-15697.539
27,15,1091.842
26,16,-17637.748
25,17,-24831.770
24,18,-34422.678
23,19,-35022.031
22,20,-38547.293
21,21,-32121.003
20,22,-25104.353
27,16,-12195.461
26,17,-24159.510
25,18,-32009.811
24,19,-36575.394
23,20,-38408.873
22,21,-36188.150
21,22,-29315.591
20,23,-17916.358
28,16,-9204.236
27,17,-20478.973
26,18,-32673.260
25,19,-35781.498
24,20,-41468.730
23,21,-37816.035
22,22,-37548.586
21,23,-23808.079
20,24,-13421.899
28,17,-18262.544
27,18,-29770.801
26,19,-36615.643
25,20,-40812.230
24,21,-41072.321
23,22,-39010.266
22,23,-31886.441
21,24,-19514.801
29,17,-13734.949
28,18,-29771.255
27,19,-35413.929
26,20,-43139.610
25,21,-41761.643
24,22,-44128.269
23,23,-37075.897
22,24,-29471.570
21,25,-12417.748
29,18,-25367.274
28,19,-35711.982
27,20,-42344.665
26,21,-44336.842
25,22,-44937.612
24,23,-42007.070
23,24,-34563.093
22,25,-22566.376
30,18,-22354.927
29,19,-32284.482
28,20,-44224.868
27,21,-44504.083
26,22,-48492.952
25,23,-44478.005
24,24,-42821.313
23,25,-29296.644
22,26,-18008.575
30,19,-29611.496
29,20,-41300.003
28,21,-46562.447
27,22,-48564.012
26,23,-47962.157
25,24,-45332.352
24,25,-37619.925
23,26,-24750.730
31,19,-25727.853
30,20,-39589.230
29,21,-44537.120
28,22,-51431.867
27,23,-49223.240
26,24,-50261.364
25,25,-42626.886
24,26,-34476.460
23,27,-17589.403
32,19,-22515.457
31,20,-36332.310
30,21,-43250.353
29,22,-49732.965
28,23,-52203.105
27,24,-51450.715
26,25,-48243.225
25,26,-40189.185
24,27,-27342.146
33,19,-17137.628
32,20,-34266.272
31,21,-40523.560
30,22,-49477.698
29,23,-51443.032
28,24,-55419.508
27,25,-50711.387
26,26,-48332.095
25,27,-34343.979
24,28,-22559.856
34,19,-12295.722
33,20,-29387.707
32,21,-38769.555
31,22,-46881.433
30,23,-51851.675
29,24,-55287.618
28,25,-54690.350
27,26,-50947.483
26,27,-42659.376
25,28,-29630.827
34,20,-25160.587
33,21,-34437.934
32,22,-45743.812
31,23,-49898.267
30,24,-56935.379
29,25,-55558.247
28,26,-56254.615
27,27,-48010.068
26,28,-39278.312
35,20,-18650.375
34,21,-30842.108
33,22,-41832.469
32,23,-49125.136
31,24,-55110.324
30,25,-57712.542
29,26,-57481.422
28,27,-54029.996
27,28,-45335.961
26,29,-31635.403
36,20,-13510.390
35,21,-25515.848
34,22,-39422.995
33,23,-46183.401
32,24,-55285.128
31,25,-56911.666
30,26,-60607.163
29,27,-56040.518
28,28,-53907.649
27,29,-38629.733
36,21,-21379.653
35,22,-34401.848
34,23,-44435.063
33,24,-52524.985
32,25,-57486.279
31,26,-60182.017
30,27,-59345.658
29,28,-56083.961
28,29,-47309.014
37,21,-15479.569
36,22,-30917.668
35,23,-40430.584
34,24,-51991.808
33,25,-55827.568
32,26,-62155.271
31,27,-59847.292
30,28,-60228.871
29,29,-51667.851
28,30,-42298.871
38,21,-10829.550
36,23,-37610.617
35,24,-48115.931
34,25,-55525.328
33,26,-60664.957
32,27,-62229.838
31,28,-61156.833
30,29,-56358.454
29,30,-47215.678
38,22,-22099.698
37,23,-33087.402
36,24,-46908.500
35,25,-52967.946
34,26,-61413.174
33,27,-61650.437
32,28,-64473.243
31,29,-58345.262
30,30,-54174.470
38,23,-30177.121
37,24,-42496.502
36,25,-51742.130
35,26,-58920.503
34,27,-62898.179
33,28,-64222.029
32,29,-61984.063
31,30,-56348.906
30,31,-47134.662
39,23,-25213.164
38,24,-40852.611
37,25,-48523.965
36,26,-58878.057
35,27,-61424.399
34,28,-66746.440
33,29,-62787.543
32,30,-61168.088
31,31,-51987.022
40,23,-21740.141
39,24,-36178.299
38,25,-46887.061
37,26,-55635.629
36,27,-61851.553
35,28,-65512.891
34,29,-65579.868
33,30,-62213.429
32,31,-56547.100
31,32,-46921.221
40,24,-33639.978
39,25,-42989.040
38,26,-54969.552
37,27,-59792.442
36,28,-67099.034
35,29,-65424.418
34,30,-66004.018
33,31,-58832.827
32,32,-54315.503
40,25,-40967.344
39,26,-51217.902
38,27,-59185.205
37,28,-65125.796
36,29,-67263.677
35,30,-65912.024
34,31,-62657.486
33,32,-56478.223
32,33,-46937.056
41,25,-36750.392
40,26,-50067.847
39,27,-56408.541
38,28,-66006.293
37,29,-66258.289
36,30,-68899.229
35,31,-63723.729
34,32,-61607.041
33,33,-52025.084
41,26,-45708.416
40,27,-55321.783
39,28,-63742.688
38,29,-67319.553
37,30,-67880.376
36,31,-66879.156
35,32,-62673.718
34,33,-56587.232
33,34,-46580.294
41,27,-51642.591
40,28,-63463.822
39,29,-65567.043
38,30,-70007.154
37,31,-67086.054
36,32,-66978.799
35,33,-58894.527
34,34,-54189.449
42,27,-50385.447
41,28,-59978.656
40,29,-65736.221
39,30,-68417.906
38,31,-69327.820
37,32,-67100.674
36,33,-63112.181
35,34,-56434.714
34,35,-46259.478
43,27,-46524.963
42,28,-59213.868
41,29,-62976.381
40,30,-69564.748
39,31,-68910.150
38,32,-70562.036
37,33,-64333.973
36,34,-61929.900
35,35,-51425.627
44,27,-44369.930
43,28,-55406.236
42,29,-62711.134
41,30,-67328.786
40,31,-70139.127
39,32,-69906.657
38,33,-67893.257
37,34,-63146.515
36,35,-56502.426
35,36,-46327.211
44,28,-54226.068
43,29,-59783.006
42,30,-68145.495
41,31,-68588.284
40,32,-72585.910
39,33,-68229.808
38,34,-67868.189
37,35,-59061.750
36,36,-53940.582
45,28,-50108.159
44,29,-58987.445
43,30,-65593.411
42,31,-69699.343
41,32,-71297.532
40,33,-70952.757
39,34,-68227.396
38,35,-63645.787
37,36,-56551.758
36,37,-46011.611
45,29,-56006.213
44,30,-65756.720
43,31,-68049.626
42,32,-73422.451
41,33,-70860.064
40,34,-72213.210
39,35,-65288.161
38,36,-62331.844
37,37,-51916.016
46,29,-54470.219
45,30,-62558.916
44,31,-68460.639
43,32,-71856.973
42,33,-73034.203
41,34,-72169.489
40,35,-69107.020
39,36,-64323.632
38,37,-57218.702
37,38,-46618.702
47,29,-50981.627
46,30,-62303.024
45,31,-66296.648
44,32,-73212.898
43,33,-72291.384
42,34,-75251.959
41,35,-70289.078
40,36,-69013.706
39,37,-60479.089
38,38,-54247.645
48,29,-48862.828
47,30,-58789.203
46,31,-65992.352
45,32,-71212.870
44,33,-73916.334
43,34,-74599.497
42,35,-73234.818
41,36,-70169.451
40,37,-64830.500
39,38,-57803.443
49,29,-44789.474
48,30,-57483.242
47,31,-63704.085
46,32,-71862.058
45,33,-72816.970
44,34,-77025.952
43,35,-73452.168
42,36,-74178.283
41,37,-66935.427
40,38,-63173.949
50,29,-42408.039
49,30,-53432.302
48,31,-62548.355
47,32,-69527.180
46,33,-73636.081
45,34,-75917.466
44,35,-76068.067
43,36,-74442.290
42,37,-70802.778
41,38,-65479.664
40,39,-57802.935
50,30,-51648.619
49,31,-59223.675
48,32,-69535.314
47,33,-72214.601
46,34,-77759.487
45,35,-75889.025
44,36,-77893.455
43,37,-72175.476
42,38,-70311.467
41,39,-61148.162
51,30,-46199.669
50,31,-57627.962
49,32,-66291.695
48,33,-72533.314
47,34,-76389.019
46,35,-77977.051
45,36,-77696.199
44,37,-75456.704
43,38,-71528.134
42,39,-65712.919
41,40,-57524.418
52,30,-42313.960
51,31,-52930.725
50,32,-65415.075
49,33,-70105.427
48,34,-77593.895
47,35,-77498.677
46,36,-80591.79509
45,37,-76187.813
44,38,-76010.062
43,39,-68064.097
42,40,-63614.063
52,31,-49257.129
51,32,-60976.442
50,33,-69669.331
49,34,-75340.543
48,35,-79013.721
47,36,-79990.643
46,37,-79070.639
45,38,-76797.616
44,39,-72205.672
43,40,-65911.659
42,41,-57612.910
53,31,-44094.136
52,32,-58148.435
51,33,-65853.568
50,34,-75947.731
49,35,-77783.094
48,36,-82439.34527
47,37,-79758.975
46,38,-80649.580
45,39,-73894.439
44,40,-71421.692
43,41,-61193.842
54,31,-39744.059
53,32,-53123.427
52,33,-63189.152
51,34,-72413.645
50,35,-78575.478
49,36,-81480.341
48,37,-82167.34065
47,38,-81103.290
46,39,-77842.131
45,40,-73175.196
44,41,-66279.684
43,42,-57509.760
54,32,-49399.927
53,33,-58962.150
52,34,-70503.175
51,35,-75632.261
50,36,-83265.67593
49,37,-82747.003
48,38,-84523.09977
47,39,-79283.100
46,40,-77969.023
45,41,-69134.061
44,42,-64110.927
54,33,-55617.914
53,34,-66426.133
52,35,-73891.685
51,36,-80709.531
50,37,-84597.802
49,38,-84880.07643
48,39,-83018.387
47,40,-79347.147
46,41,-73874.493
45,42,-66884.817
44,43,-57690.052
54,34,-63884.203
53,35,-70715.967
52,36,-79691.295
51,37,-82609.004
50,38,-87921.62876
49,39,-84299.029
48,40,-83628.874
47,41,-76171.555
46,42,-72686.553
45,43,-61670.301
55,34,-58992.398
54,35,-68274.271
53,36,-76535.795
52,37,-81712.399
51,38,-86209.026
50,39,-87711.202
49,40,-84877.974
48,41,-80625.755
47,42,-75014.944
46,43,-67394.857
45,44,-58369.424
56,34,-55800.223
55,35,-64000.306
54,36,-74959.259
53,37,-79365.573
52,38,-85950.945
51,39,-86496.912
50,40,-88772.547
49,41,-82661.531
48,42,-80172.514
47,43,-70724.696
46,44,-64883.801
57,34,-50580.130
56,35,-61107.301
55,36,-70973.974
54,37,-77745.049
53,38,-83651.950
52,39,-86351.321
51,40,-87895.592
50,41,-86638.028
49,42,-82208.834
48,43,-75986.657
47,44,-68239.833
57,35,-56232.812
56,36,-68769.329
55,37,-74772.450
54,38,-82867.371
53,39,-84816.494
52,40,-88459.024
51,41,-86453.290
50,42,-86808.587
49,43,-78925.703
48,44,-74301.211
47,45,-62999.095
46,46,-54779.095
58,35,-52890.235
57,36,-64136.002
56,37,-72619.900
55,38,-80085.844
54,39,-84227.155
53,40,-87122.028
52,41,-87212.840
51,42,-86807.079
50,43,-83606.116
49,44,-77216.723
48,45,-69011.810
47,46,-58981.810
58,36,-61347.780
57,37,-68562.791
56,38,-78845.721
55,39,-82351.473
54,40,-87269.332
53,41,-86369.063
52,42,-88414.079
51,43,-84158.332
50,44,-82583.602
49,45,-72907.623
48,46,-66102.281
59,36,-56158.920
58,37,-65890.307
57,38,-75117.284
56,39,-81207.937
55,40,-85659.940
54,41,-86786.272
53,42,-87711.872
52,43,-86021.355
51,44,-83457.759
50,45,-78340.616
49,46,-69965.913
60,36,-53081.682
59,37,-61354.351
58,38,-72918.248
57,39,-78329.986
56,40,-85438.860
55,41,-85602.830
54,42,-88794.889
53,43,-85821.648
52,44,-86080.385
51,45,-79687.732
50,46,-76183.420
49,47,-64511.645
61,36,-47423.499
60,37,-58519.145
59,38,-68580.674
58,39,-76115.455
57,40,-82936.693
56,41,-85602.797
55,42,-87544.700
54,43,-87224.436
53,44,-86120.564
52,45,-82597.564
51,46,-77805.852
50,47,-70904.027
49,48,-60734.027
61,37,-54369.152
60,38,-66422.389
59,39,-72288.748
58,40,-81281.757
57,41,-83524.612
56,42,-88115.980
55,43,-86432.214
54,44,-88224.871
53,45,-83175.219
52,46,-81320.985
51,47,-73066.425
50,48,-67636.425
62,37,-51121.150
61,38,-62518.527
60,39,-70643.730
59,40,-77616.670
58,41,-82335.344
57,42,-85970.106
56,43,-87327.869
55,44,-87625.385
54,45,-85584.522
53,46,-82182.861
52,47,-76712.483
51,48,-69931.132
63,37,-46265.884
62,38,-59817.505
61,39,-67321.241
60,40,-76372.736
59,41,-79791.246
58,42,-86193.029
57,43,-86020.951
56,44,-89227.391
55,45,-85591.130
54,46,-85212.672
53,47,-78137.969
52,48,-74194.595
51,49,-64178.146
50,50,-57148.146
64,37,-42567.417
63,38,-55324.914
62,39,-65054.787
61,40,-73160.987
60,41,-78891.488
59,42,-83519.952
58,43,-86344.593
57,44,-87958.113
56,45,-87412.428
55,46,-85432.145
54,47,-81334.384
53,48,-75836.466
52,49,-68544.901
51,50,-60305.624
65,37,-37252.312
64,38,-52159.311
63,39,-61172.641
62,40,-71581.427
61,41,-76298.265
60,42,-83560.866
59,43,-84572.921
58,44,-89106.435
57,45,-86783.316
56,46,-87902.963
55,47,-82246.702
54,48,-79659.702
53,49,-70694.896
52,50,-64934.896
64,39,-58457.034
63,40,-67808.993
62,41,-75028.667
61,42,-80954.331
60,43,-84603.920
59,44,-87267.168
58,45,-88031.705
57,46,-87456.980
56,47,-84802.702
55,48,-80651.626
54,49,-74632.397
64,40,-65717.660
63,41,-71810.997
62,42,-80343.748
61,43,-82498.969
60,44,-88095.763
59,45,-86959.344
58,46,-89395.123
57,47,-85116.470
56,48,-83968.391
55,49,-76182.675
54,50,-71627.057
52,52,-49626.831
65,40,-61458.274
64,41,-69915.547
63,42,-77330.788
62,43,-82286.303
61,44,-85934.543
60,45,-87851.270
59,46,-88417.905
58,47,-87070.848
57,48,-84333.849
56,49,-79640.582
55,50,-73338.001
54,51,-64015.491
53,52,-52811.509
65,41,-66202.678
64,42,-76128.003
63,43,-79776.253
62,44,-86323.253
61,45,-86362.656
60,46,-89907.543
59,47,-86942.399
58,48,-87132.153
57,49,-80608.150
56,50,-77353.698
55,51,-66473.301
54,52,-58219.759
66,41,-63723.805
65,42,-72544.975
64,43,-78749.967
63,44,-83862.565
62,45,-86863.711
61,46,-88372.654
60,47,-88406.700
59,48,-86990.325
58,49,-83566.667
57,50,-78512.239
56,51,-70653.248
67,41,-59545.198
66,42,-70749.297
65,43,-75922.831
64,44,-83661.404
63,45,-85031.156
62,46,-89524.215
61,47,-87606.792
60,48,-89252.423
59,49,-84119.828
58,50,-82069.949
57,51,-72445.341
56,52,-65781.676
54,54,-42632.357
68,41,-56689.800
67,42,-66659.285
66,43,-74282.828
65,44,-80738.455
64,45,-84999.251
63,46,-87606.484
62,47,-88719.431
61,48,-88504.330
60,49,-86489.526
59,50,-82630.180
58,51,-76250.986
57,52,-67715.399
56,53,-57672.505
55,54,-46169.546
69,41,-52309.914
68,42,-64535.814
67,43,-71034.564
66,44,-80072.629
65,45,-82828.693
64,46,-88330.904
63,47,-87457.306
62,48,-90347.969
61,49,-86469.969
60,50,-85841.993
59,51,-77449.745
58,52,-72229.821
57,53,-60467.844
56,54,-51922.636
69,42,-59939.813
68,43,-69024.675
67,44,-76785.325
66,45,-82303.871
65,46,-85985.886
64,47,-88215.447
63,48,-89252.247
62,49,-88392.050
61,50,-85938.581
60,51,-80836.747
59,52,-73587.487
58,53,-64953.795
69,43,-65258.932
68,44,-75630.873
67,45,-79731.052
66,46,-86321.039
65,47,-86583.729
64,48,-90574.857
63,49,-87990.127
62,50,-88655.049
61,51,-81598.973
60,52,-77567.518
59,53,-67063.339
58,54,-60026.348
70,43,-62811.549
69,44,-71867.816
68,45,-78766.944
67,46,-83590.500
66,47,-87026.825
65,48,-89043.286
64,49,-89367.123
63,50,-88328.129
62,51,-84416.966
61,52,-78347.037
60,53,-71119.517
59,54,-62203.626
58,55,-51764.539
71,43,-58600.294
70,44,-70221.213
69,45,-75710.275
68,46,-83490.346
67,47,-84930.811
66,48,-90014.934
65,49,-88569.807
64,50,-90559.735
63,51,-84496.616
62,52,-81889.676
61,53,-72638.935
60,54,-67085.899
59,55,-54685.928
58,56,-45905.437
71,44,-66105.296
70,45,-74229.228
69,46,-80425.822
68,47,-84982.587
67,48,-88084.480
66,49,-89536.357
65,50,-90033.846
64,51,-87003.412
63,52,-82062.767
62,53,-76337.805
61,54,-68656.757
72,44,-64068.917
71,45,-70735.742
70,46,-79831.026
69,47,-82542.664
68,48,-88712.489
67,49,-88249.758
66,50,-91525.979
65,51,-86822.020
64,52,-85263.793
63,53,-77420.654
62,54,-73046.877
73,44,-59489.871
72,45,-68896.758
71,46,-76423.890
70,47,-82181.918
69,48,-86418.397
68,49,-88943.035
67,50,-90397.742
66,51,-88639.564
65,52,-85095.500
64,53,-80438.568
63,54,-74185.347
62,55,-66493.101
61,56,-57457.906
73,45,-64886.840
72,46,-75388.358
71,47,-79553.802
70,48,-86701.649
69,49,-87228.177
68,50,-91652.843
67,51,-87996.204
66,52,-87690.758
65,53,-80971.056
64,54,-78079.067
63,55,-68409.377
74,45,-62822.802
73,46,-71407.277
72,47,-78645.759
71,48,-83976.939
70,49,-87698.658
69,50,-90064.985
68,51,-89475.539
67,52,-87182.539
66,53,-83777.731
65,54,-78794.488
64,55,-72305.061
63,56,-64590.096
74,46,-70279.604
73,47,-75651.512
72,48,-83957.365
71,49,-85727.741
70,50,-91097.741
69,51,-88417.133
68,52,-89362.160
67,53,-83747.160
66,54,-82172.434
65,55,-73888.649
64,56,-68888.649
76,45,-56250.134
75,46,-66182.337
74,47,-74402.831
73,48,-81073.837
72,49,-85834.593
71,50,-89196.626
70,51,-89599.157
69,52,-88543.111
68,53,-86245.649
67,54,-82480.997
66,55,-77102.342
65,56,-70744.847
76,46,-64616.169
75,47,-71106.118
74,48,-80612.384
73,49,-83571.361
72,50,-89939.953
71,51,-88334.205
70,52,-90313.282
69,53,-86079.282
68,54,-85354.988
67,55,-78144.769
66,56,-74608.952
77,46,-60429.748
76,47,-69568.581
75,48,-77414.183
74,49,-83429.034
73,50,-87814.683
72,51,-89222.890
71,52,-89170.978
70,53,-87942.588
69,54,-85248.258
68,55,-81043.657
67,56,-75654.963
77,47,-66229.951
76,48,-76699.436
75,49,-80867.778
74,50,-88231.475
73,51,-87619.069
72,52,-90524.142
71,53,-87364.555
70,54,-87667.405
69,55,-81741.060
68,56,-79089.786
67,57,-70258.617
78,47,-64519.939
77,48,-73348.090
76,49,-80412.308
75,50,-85893.657
74,51,-88255.094
73,52,-89021.794
72,53,-88836.024
71,54,-87199.361
70,55,-84089.742
69,56,-79668.976
68,57,-73759.492
78,48,-72255.727
77,49,-77809.377
76,50,-86015.135
75,51,-86393.135
74,52,-90064.168
73,53,-87910.496
72,54,-89146.38687
71,55,-84350.683
70,56,-82669.913
69,57,-74973.476
68,58,-70820.565
79,48,-68741.199
78,49,-76879.897
77,50,-83469.578
76,51,-86698.294
75,52,-88280.497
74,53,-88983.217
73,54,-88320.883
72,55,-86240.027
71,56,-82817.955
70,57,-77896.116
69,58,-71979.344
80,48,-67238.245
79,49,-74190.117
78,50,-83361.430
77,51,-84629.852
76,52,-88993.794
75,53,-87738.030
74,54,-89860.53427
73,55,-85931.773
72,56,-85369.156
71,57,-78625.439
70,58,-75533.925
69,59,-66330.764
81,48,-63122.142
80,49,-72834.889
79,50,-80590.597
78,51,-84629.384
77,52,-87004.884
76,53,-88507.176
75,54,-88696.06975
74,55,-87499.050
73,56,-85060.866
72,57,-81323.541
71,58,-76287.504
70,59,-69773.566
82,48,-61117.597
81,49,-69906.530
80,50,-80132.217
79,51,-82285.687
78,52,-87352.960
77,53,-86936.188
76,54,-89880.474
75,55,-86899.754
74,56,-87256.776
73,57,-81627.374
72,58,-79422.913
71,59,-71175.464
70,60,-66596.239
83,48,-55211.760
82,49,-68024.369
81,50,-77264.579
80,51,-81981.412
79,52,-85211.022
78,53,-87442.727
77,54,-88413.57492
76,55,-88055.574
75,56,-86678.958
74,57,-83769.265
73,58,-79708.448
72,59,-74300.664
71,60,-67768.040
84,48,-50465.429
83,49,-62411.554
82,50,-76546.554
81,51,-79635.282
80,52,-85188.197
79,53,-85703.502
78,54,-89278.97451
77,55,-87152.693
76,56,-88434.903
75,57,-83723.578
74,58,-82468.688
73,59,-75227.464
72,60,-71425.815
83,50,-70873.890
82,51,-78923.513
81,52,-82937.133
80,53,-85857.302
79,54,-87643.583
78,55,-88070.943
77,56,-87553.512
76,57,-85494.392
75,58,-82418.223
74,59,-77937.591
73,60,-72332.380
72,61,-65407.653
84,50,-66433.759
83,51,-74019.004
82,52,-82533.752
81,53,-84043.440
80,54,-88125.83443
79,55,-86891.165
78,56,-88950.002
77,57,-85218.659
76,58,-84832.898
75,59,-78528.000
74,60,-75646.443
73,61,-66763.908
85,50,-60632.252
84,51,-69690.332
83,52,-77728.790
82,53,-83779.180
81,54,-86413.365
80,55,-87581.956
79,56,-87850.655
78,57,-86643.458
77,58,-84616.308
76,59,-80935.872
75,60,-76213.620
74,61,-70062.329
73,62,-62857.222
85,51,-64506.890
84,52,-74425.279
83,53,-79545.225
82,54,-86429.170
81,55,-86338.855
80,56,-88887.079
79,57,-86037.488
78,58,-86508.550
77,59,-81340.421
76,60,-79199.297
75,61,-71169.923
74,62,-66810.899
